ID1,CASEID,QCOL93,Q1035NO,Q1036N,Q1037M,Q1037P,Q1037O,Q1040A,Q1040B,Q1040C,Q1040D,Q1040E,Q1040F,Q1040G,Q1040H,Q1040I,Q1040X
2021,      001104301  2,1,1,AB,BE,BE, ,2,2, , , , , , , , 
2021,      001105801  1,1,5,A,ABCE, , , , , , , , , , , , 
2021,      001108501  2,1,2,AB,BE,BE, , , , , , , , , , , 
2021,      001110401  2,1,1,AB,CK,CK, , , , , , , , , , , 
2021,      001202501  2,1,3,AB,BK,K, , , , , , , , , , , 
2021,      001206401  2,1,3,A,C, , , , , , , , , , , , 
2021,      001206401  2,2,2,A,ABC, , , , , , , , , , , , 
2021,      001209801  2,1,3,AB,BK,BK, , , , , , , , , , , 
2021,      001211501  2,1,2,AB,ACK,ACK, , , , , , , , , , , 
2021,      001211501  2,2,1,AB,ABK,ABK, , , , , , , , , , , 
2021,      001300801  1,1,2,A,BC, , , , , , , , , , , , 
2021,      001306201  2,1,2,AB,BCF,BCF, , , , , , , , , , , 
2021,      001310501  5,1,3,AB,BC,BC, , , , , , , , , , , 
2021,      001311201  2,1,3,AB,B,B, , , , , , , , , , , 
2021,      001311601  1,1,1,ABC,C,C,CK, , , , , , , , , , 
2021,      001401001  2,1,2,AB,ABC,ABC, , , , , , , , , , , 
2021,      001401001  2,2,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      001403201  5,1,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      001405501  1,1,1,A,ABC, , , , , , , , , , , , 
2021,      001405901  2,1,1,A,K, , , , , , , , , , , , 
2021,      001501301  2,1,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      001510001  3,1,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      001600201  2,1,2,AB,K,K, , , , , , , , , , , 
2021,      001602401  1,1,2,A,K, , ,2,2,2,2,2, , , , , 
2021,      001602401  1,2,1,A,BCE, , ,1,1,2,2,2, , , , , 
2021,      001602901  1,1,5,A,BK, , ,1,1,1, , , , , , , 
2021,      001702801  1,1,3,ABD,BK,BK,BK,2, , , , ,2, ,2, , 
2021,      001710801  2,1,3,AB,BCE,BC, , , , , , , , , , , 
2021,      001710801  2,2,2,AB,ABCE,BC, , , , , , , , , , , 
2021,      001711901  2,1,3,AB,ABC,ABC, , , , , , , , , , , 
2021,      001801101  2,1,3,AB,C,C, , , , , , , , , , , 
2021,      001802201  1,1,1,Y, , , , , , , , , , , , , 
2021,      001804501  2,1,4,A,BC, , , , , , , , , , , , 
2021,      001805601  2,1,4,Y, , , , , , , , , , , , , 
2021,      001806301  1,1,2,AB,C,C, , , , , , , , , , , 
2021,      001810201  2,1,2,AB,CK,CK, , , , , , , , , , , 
2021,      001810201  2,2,1,AB,CK,CK, , , , , , , , , , , 
2021,      001907001  2,1,1,A,K, , , , , , , , , , , , 
2021,      001909001  1,1,2,A,BC, , ,2,2, ,2, , , , , , 
2021,      001910001  4,1,1,A,AK, , , , , , , , , , , , 
2021,      001910301  2,1,1,A,C, , , , , , , , , , , , 
2021,      002000601  2,1,3,AB,BC,BC, , , , , , , , , , , 
2021,      002010801  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      002014501  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      002100701  2,1,3,AB,ABK,K, ,2, , , , , , , , , 
2021,      002111201  1,1,4,A,E, , ,2,2,2,2,2,2,2,2,2, 
2021,      002201401  2,1,2,AB,ABC,ABC, , , , , , , , , , , 
2021,      002203401  2,1,3,AB,CE,CE, , , ,2, , , , , , , 
2021,      002204501  2,1,6,AB,ABC,ABC, , , , , , , , , , , 
2021,      002208001  2,1,2,AB,ABC,B, ,1,1, , , , , , , , 
2021,      002208001  2,2,1,AB,ABC,AB, ,2,2, , , , , , , , 
2021,      002208801  6,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      002211601  2,1,3,AB,ABC,ABC, , , , , , , , , , , 
2021,      002300801  1,1,3,A,AB, , , , , , , , , , , , 
2021,      002303301  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      002305201  2,1,2,ABX,EK,B,B, , , , , , , , , , 
2021,      002308101  2,1,1,AB,BEK,BEK, , , , , , , , , , , 
2021,      002311001  2,1,1,AB,AG,AG, , , , , , , , , , , 
2021,      002313001  2,1,1,AB,K,BEK, , , , , , , , , , , 
2021,      002400301  2,1,3,A,ABK, , , , , , , , , , , , 
2021,      002405801  2,1,3,A,ABC, , , , , , , , , , , , 
2021,      002409801  1,1,2,A,ABCK, , , , , , , , , , , , 
2021,      002412601  1,1,2,A,CE, , , , , , , , , , , , 
2021,      002412801  2,1,2,AB,K,K, , , , , , , , , , , 
2021,      002413701  2,1,1,AB,BC,C, , , , , , , , , , , 
2021,      002501501  2,1,3,AB,B,B, , , , , , , , , , , 
2021,      002501801  2,1,3,AB,B,B, , , , , , , , , , , 
2021,      002502001  2,1,1,A,BE, , , , , , , , , , , , 
2021,      002505701  2,1,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      002512701  3,1,1,AC,AB, ,B, , , , , , , , , , 
2021,      002607301  2,1,3,A,CK, , , , , , , , , , , , 
2021,      002609101  2,1,3,A,AIK, , , , , , , , , , , , 
2021,      002611001  1,1,1,A,BC, , , , , , , , , , , , 
2021,      002611901  3,1,1,AC,ACK, ,K, , , , , , , , , , 
2021,      002701301  3,1,1,A,BCK, , , , , , , , , , , , 
2021,      002702101  5,1,1,A,CK, , , , , , , , , , , , 
2021,      002705601  1,1,2,A,CK, , , , , , , , , , , , 
2021,      002800401  2,1,2,AB,AB,B, ,2,2,2, , , , , , , 
2021,      002801201  2,1,5,Y, , , , , , , , , , , , , 
2021,      002802501  2,1,3,Y, , , , , , , , , , , , , 
2021,      002900101  2,1,1,AB,AB,AB, ,1,1, , , , , , , , 
2021,      002900301  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      002900401  2,1,1,AB,BEK,BEK, ,1,1, , , , , , , , 
2021,      002900501  2,1,6,AB,AB,AB, , , , , , , , , , , 
2021,      002900501  2,2,5,AB,AB,AB, , , , , , , , , , , 
2021,      002909401  2,1,7,AB,BE,BE, , , , , , , , , , , 
2021,      002909401  2,2,6,AB,BEK,BEK, , , , , , , , , , , 
2021,      002909601  2,1,1,AB,AB,AB, , , , , , , , , , , 
2021,      002910901  2,1,3,A,B, , , , ,2, , , , , , , 
2021,      002911001  2,1,3,AB,AB,AB, , ,1,1, , , , , , , 
2021,      002911201  5,1,1,AB,AB,AB, ,1,1,1, , , , , , , 
2021,      003001101  2,1,8,A,B, , ,2, , , , ,2,2,2,2, 
2021,      003001101  2,2,7,A,B, , ,2, , , , ,2,2,2,2, 
2021,      003001501  2,1,1,A,B, , , , , , , , , , , , 
2021,      003010601  2,1,1,A,BEK, , , , , , , , , , , , 
2021,      003010701  2,1,6,A,AB, , , ,1, , , , , , , , 
2021,      003012801  5,1,1,AB,K,K, , , , , , , , , , , 
2021,      003013001  2,1,3,Y, , , , , , , , , , , , , 
2021,      003013001  2,2,2,A,AK, , , , , , , , , , , , 
2021,      003013201  2,1,2,AB,AK,AFK, , , , , , , , , , , 
2021,      003102001  2,1,6,AB,K,K, , , , , , , , , , , 
2021,      003102001  2,2,5,AB,BK,BK, , , , , , , , , , , 
2021,      003102001  2,3,4,AB,BK,BK, , , , , , , , , , , 
2021,      003105201  4,1,1,Y, , , , , , , , , , , , , 
2021,      003105601  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      003105601  2,2,1,AB,B,B, , , , , , , , , , , 
2021,      003207601  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      003208801  2,1,9,Y, , , , , , , , , , , , , 
2021,      003209001  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      003209001  2,2,1,A,B, , , , , , , , , , , , 
2021,      003302101  1,1,1,A,BC, , , , , , , , , , , , 
2021,      003302201  1,1,1,A,B, , , , , , , , , , , , 
2021,      003302401  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      003304601  1,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      003304701  2,1,2,AB,BCK,BCK, , , , , , , , , , , 
2021,      003304801  1,1,3,A,B, , , , , , , , , , , , 
2021,      003304901  2,1,2,AB,BCK,BCK, , , , , , , , , , , 
2021,      003305001  2,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      003314101  1,1,2,A,BC, , , , , , , , , , , , 
2021,      003314401  4,1,1,AB,BK,BK, ,2, , , , , , , , , 
2021,      003400301  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      003400401  2,1,10,Y, , , , , , , , , , , , , 
2021,      003400401  2,2,9,AB,B,BK, , , , , , , , , , , 
2021,      003405101  2,1,4,AB,BK,BK, , , , , , , , , , , 
2021,      003405201  2,1,3,A,AE, , ,2,2,2, , , , , , , 
2021,      003405301  2,1,9,Y, , , , , , , , , , , , , 
2021,      003405301  2,2,8,AB,E,E, , , , , , , , , , , 
2021,      003405401  4,1,3,A,E, , , , , , , , , , , , 
2021,      003405501  1,1,2,A,BE, , ,2,2,2, , , , , , , 
2021,      003409501  2,1,2,Y, , , , , , , , , , , , , 
2021,      003503601  2,1,5,AB,B,B, , , , , , , , , , , 
2021,      003504001  2,1,1,AB,ABE,BE, ,1,1,1,1, , , , , , 
2021,      003507901  2,1,8,Y, , , , , , , , , , ,1, , 
2021,      003507901  2,2,7,AB,BEK,BEK, , , , , , , , ,2, , 
2021,      003507901  2,3,6,AB,BE,BE, , , , , , , , ,2, , 
2021,      003508001  2,1,1,Y, , , , , , , , , , , , , 
2021,      003508101  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      003508101  2,2,1,AX,B, ,B, , , , , , , , , , 
2021,      003508301  2,1,5,AB,BK,BK, , , , , , , , , , , 
2021,      003600701  4,1,1,AB,K,K, ,2,2, , , , ,2, , , 
2021,      003604501  2,1,3,AB,BK,BK, , , , , , , , , , , 
2021,      003604601  2,1,4,AB,BK,ABE, , , , , , , , , , , 
2021,      003604901  2,1,1,AB,BK,BK, , , , , , , , , , , 
2021,      003606001  2,1,4,A,K, , ,2,2,2, , , , , , , 
2021,      003606101  2,1,3,AB,AB,B, ,2,2,2, , , , , , , 
2021,      003702901  2,1,2,AB,AB,AB, , ,2, , , , , , , , 
2021,      003702901  2,2,1,AB,ABC,ABC, , ,2, , , , , , , , 
2021,      003703201  2,1,2,AB,K,K, ,2, , , , , , , , , 
2021,      003703301  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      003703401  2,1,2,A,K, , , , , , , , , , , , 
2021,      003703701  2,1,3,AB,AB,AB, , , , , , , , , , , 
2021,      003801101  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      003801401  2,1,1,B, ,K, , , , , , , , , , , 
2021,      003804001  2,1,1,B, ,K, , , , , , , , , , , 
2021,      003808501  2,1,4,A,BCK, , , , , , , , , , , , 
2021,      003808801  2,1,2,AB,CK,CK, , , , , , , , , , , 
2021,      003900501  2,1,1,Y, , , , , , , , , , , , , 
2021,      003900901  1,1,2,A,B, , , , , , , , , , , , 
2021,      003901001  2,1,3,Y, , , , , , , , , , , , , 
2021,      003901401  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      003901701  3,1,1,AE,B, ,B, , , , , , , , , , 
2021,      003909801  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      003910101  2,1,1,B, ,B, , , , , , , , , , , 
2021,      004003801  2,1,6,AB,B,B, , , , , , , , , , , 
2021,      004003901  2,1,2,AB,AB,AB, , , , , , , , , , , 
2021,      004004801  7,1,1,A,AB, , , , , , , , , , , , 
2021,      004005101  2,1,3,AB,K,K, ,2, ,2, , , , , , , 
2021,      004005101  2,2,2,AB,B,B, ,1, ,1, , , , , , , 
2021,      004005201  4,1,2,AB,A,A, ,1,2,1,2, , , ,2,2, 
2021,      004005301  2,1,5,AB,A,A, , , , , , , , , , , 
2021,      004005501  2,1,2,AB,AB,AB, , , , , , , , , , , 
2021,      004005601  2,1,2,AB,ABC,ABC, ,2,2,2,2,2, , ,2, , 
2021,      004100101  2,1,4,Y, , , ,2, , , , , , , , , 
2021,      004100201  2,1,2,Y, , , , , , , , , , , , , 
2021,      004100701  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      004101701  2,1,2,AB,B,B, , ,2,2,2, , , , , , 
2021,      004200701  2,1,3,AB,AB,BE, ,2, ,2,2, , , , , , 
2021,      004200801  2,1,4,AB,BC,BC, , , , , , , , , , , 
2021,      004201001  2,1,1,A,C, , , , , , , , , , , , 
2021,      004201301  2,1,2,AB,BCE,BCE, , , , , , , , , , , 
2021,      004214001  2,1,1,A,BC, , , , , , , , , , , , 
2021,      004214101  2,1,2,AB,K,AK, , , , , , , , , , , 
2021,      004302201  1,1,2,AB,K,K, , , , , , , , , , , 
2021,      004302501  1,1,3,AB,B,B, , , , , , , , , , , 
2021,      004302601  2,1,2,A,C, , , , , , , , , , , , 
2021,      004304701  1,1,3,AB,K,K, , , , , , , , , , , 
2021,      004304701  1,2,2,AB,E,B, , , , , , , , , , , 
2021,      004304801  2,1,2,AB,K,K, , , , , , , , , , , 
2021,      004400201  2,1,4,AB,B,B, , , , , , , , , , , 
2021,      004400401  2,1,5,AB,B,B, , , , , , , , , , , 
2021,      004400501  2,1,1,A,B, , , , , , , , , , , , 
2021,      004401101  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      004401201  3,1,1,A,B, , , , , , , , , , , , 
2021,      004401501  2,1,3,AB,B,B, , , , , , , , , , , 
2021,      004403901  2,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      004404001  2,1,5,AB,B,B, , , , , , , , , , , 
2021,      004404101  2,1,3,A,B, , , , , , , , , , , , 
2021,      004404201  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      004504101  1,1,3,F, , ,ABK, , , , , , , , , , 
2021,      004504101  1,2,2,AF,ABK, ,BK, , , , , , , , , , 
2021,      004505201  2,1,4,AB,K,K, , , , ,2, , , , , , 
2021,      004505201  2,2,3,AB,K,K, , , , ,2, , , , , , 
2021,      004505301  2,1,2,AB,BI,B, , , , , , , , ,2, , 
2021,      004505501  2,1,2,AB,BK,BK, , , , , , , , , , , 
2021,      004505501  2,2,1,AB,BK,BK, , , , , , , , , , , 
2021,      004506301  4,1,1,AB,K,K, , , , , , , , , , , 
2021,      004506501  2,1,1,AB,AK,AK, , , , , , , , , , , 
2021,      004603701  2,1,2,AB,AB,AB, ,2,2, , , , , , , , 
2021,      004603901  2,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      004603901  2,2,1,AB,BC,BC, , , , , , , , , , , 
2021,      004604001  2,1,2,A,B, , , , , , , , , , , , 
2021,      004609101  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      004609201  2,1,2,A,CE, , , , , , , , , , , , 
2021,      004609301  1,1,3,A,ABC, , ,1,1,1,1, , , ,2,2, 
2021,      004609501  2,1,2,AB,C,C, , ,2, , , , , , , , 
2021,      004609601  4,1,2,A,B, , , , , , , , , , , , 
2021,      004700801  1,1,2,A,BEK, , , , , , , , , , , , 
2021,      004701401  2,1,3,A,K, , , , ,1, , , , , , , 
2021,      004702001  1,1,1,A,BCE, , , , , , , , , , , , 
2021,      004702401  2,1,1,AB,CK,CK, , , , , , , , , , , 
2021,      004703801  2,1,4,AB,BK,BK, , , , , , , , , , , 
2021,      004703801  2,2,3,AF,BE, ,B, , , , , , , , , , 
2021,      004704801  1,1,1,A,B, , , , , , , , , , , , 
2021,      004705501  2,1,2,AB,BK,K, ,2,2,2, , , , , , , 
2021,      004707601  1,1,4,AB,K,EK, ,2,2,2,2,2,2, ,2, , 
2021,      004707601  1,2,3,AB,K,E, ,2,2,2,2,2,2, ,2, , 
2021,      004800101  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      004800201  2,1,2,A,BCI, , ,1,2,2, , , , , , , 
2021,      004801002  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      004801101  2,1,5,A,EI, , , , , , , , , , , , 
2021,      004804502  2,1,3,AB,B,B, , , , , , , , , , , 
2021,      004805801  2,1,2,AB,K,K, , , , , , , , , , , 
2021,      004806001  2,1,4,AB,C,C, , , , , , , , , , , 
2021,      004806001  2,2,3,AB,C,C, , , , , , , , , , , 
2021,      004808201  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      004808901  2,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      004901101  3,1,3,A,K, , , , , , , , , , , , 
2021,      004905502  1,1,1,A,K, , , , , , , , , , , , 
2021,      004905601  2,1,1,Y, , , , , , , , , , , , , 
2021,      005000101  1,1,2,A,CG, , , , , , , , , , , , 
2021,      005002801  2,1,1,A,K, , , , , , , , , , , , 
2021,      005002901  1,1,2,Y, , , , , , , , , , , , , 
2021,      005005001  2,1,1,Y, , , , , , , , , , , , , 
2021,      005005101  7,1,1,AB,B,B, , , , , , , , , , , 
2021,      005008101  2,1,2,AB,C,C, , , , , , , , , , , 
2021,      005012401  2,1,1,AB,BC,BC, ,1, , , , , , , , , 
2021,      005100101  4,1,1,AB,ABK,ABK, , , , , , , , , , , 
2021,      005100701  2,1,2,AB,CK,C, , , , , , , , , , , 
2021,      005100701  2,2,1,AB,CK,CEK, , , , , , , , , , , 
2021,      005112301  2,1,3,ABD,C,C,A, , , , , , , , , , 
2021,      005112501  2,1,1,AB,ABK,ABK, , , , , , , , , , , 
2021,      005112601  2,1,2,AB,EK,EK, , , , , , , , , , , 
2021,      005200701  2,1,2,AB,K,K, , , , , , , , , , , 
2021,      005200701  2,2,1,AB,K,K, , , , , , , , , , , 
2021,      005200801  2,1,6,AB,K,K, , , , , , , , , , , 
2021,      005201001  1,1,6,A,K, , ,2, , , , , , , , , 
2021,      005201001  1,2,5,A,K, , ,2, , , , , , , , , 
2021,      005204401  2,1,4,AB,K,K, , , , , , , , , , , 
2021,      005204601  2,1,4,AB,K,K, , , , , , , , , , , 
2021,      005204701  2,1,2,AB,CK,CK, , , , , , , , , , , 
2021,      005204701  2,2,1,AB,CK,CK, , , , , , , , , , , 
2021,      005306101  2,1,1,Y, , , , , , , , , , , , , 
2021,      005306201  9,1,1,AB,K,K, , , , , , , , , , , 
2021,      005306601  2,1,3,AB,CK,CK, ,2, ,2, , , , , , , 
2021,      005306701  2,1,6,Y, , , , , , , , , , , , , 
2021,      005306701  2,2,5,AB,K,K, , , , , , , , , , , 
2021,      005311001  2,1,3,AB,C,C, , , , , , , , , , , 
2021,      005311101  2,1,7,Y, , , , , , , , , , , , , 
2021,      005311201  2,1,5,AB,K,BK, , , , , , , , , , , 
2021,      005402101  2,1,2,AB,BCK,K, , , , , , , , , , , 
2021,      005402101  2,2,1,AB,BCK,K, , , , , , , , , , , 
2021,      005402201  2,1,3,AB,AK,K, ,2,2, , , , , , ,2, 
2021,      005402501  1,1,3,A,K, , , , , , , , , , , , 
2021,      005404901  2,1,4,AB,BC,BC, , , , , , , , , , , 
2021,      005404901  2,2,3,AB,BCE,BCE, , , , , , , , , , , 
2021,      005407101  2,1,1,A,BCEK, , , , , , , , , , , , 
2021,      005407201  2,1,5,A,K, , , ,2,2,2, , , , , , 
2021,      005407201  2,2,4,A,BK, , , ,2,2,2, , , , , , 
2021,      005500701  2,1,2,A,C, , , , , , , , , , , , 
2021,      005501001  5,1,1,A,AB, , , , , , , , , , , , 
2021,      005501601  2,1,2,A,B, , , , , , , , , , , , 
2021,      005502501  2,1,2,AB,BE,BE, , , , , , , , , , , 
2021,      005502801  2,1,1,AB,AB,B, , , , , , , , , , , 
2021,      005502901  2,1,4,A,AB, , , , , ,2, , , , , , 
2021,      005600901  1,1,1,A,BK, , , , , , , , , , , , 
2021,      005602301  1,1,2,A,B, , , , , , , , , , , , 
2021,      005604801  2,1,2,A,B, , , ,2, , , , , , , , 
2021,      005702201  2,1,9,AB,ABE,AB, , , , , , , , , , , 
2021,      005702301  2,1,4,AB,BC,BC, , , , , , , , , , , 
2021,      005702401  2,1,3,AB,ABE,B, , , , , , , , , , , 
2021,      005707401  4,1,1,Y, , , , , , , , , , , , , 
2021,      005709301  2,1,1,AB,ABE,ABE, , , , , , , , , , , 
2021,      005709401  2,1,1,A,BCE, , , , , , , , , , , , 
2021,      005709501  2,1,2,AB,ABE,AB, , , , , , , , , , , 
2021,      005801801  2,1,4,AB,B,B, , , , , , , , , , , 
2021,      005804701  2,1,1,A,AB, , , , , , , , , , , , 
2021,      005806101  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      005806501  2,1,1,Y, , , , , , , , , , , , , 
2021,      005810001  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      005812001  2,1,1,AB,BC,BC, , , , , , , , , , , 
2021,      005814701  2,1,2,Y, , , , , , , , , , , , , 
2021,      005900501  2,1,1,A,K, , , , , , , , , , , , 
2021,      005900701  4,1,1,AB,CK,CK, , , , , , , , , , , 
2021,      005901101  2,1,4,AB,C,C, , , , , , , , , , , 
2021,      005901201  2,1,1,AB,C,C, , , , , , , , , , , 
2021,      005901401  2,1,2,AB,CK,CK, ,2,2, , , , , , , , 
2021,      005901401  2,2,1,AB,CK,CK, ,2,2, , , , , , , , 
2021,      006000801  3,1,1,A,ABK, , , , , , , , , , , , 
2021,      006005101  3,1,1,Y, , , , , , , , , , , , , 
2021,      006005501  1,1,2,A,BC, , ,2,2, , , , , , , , 
2021,      006007501  2,1,2,AB,BK,BK, , , , , , , , , , , 
2021,      006007501  2,2,1,AB,BCK,BEK, , , , , , , , , , , 
2021,      006008201  3,1,1,AC,C, ,C,1,1,1,1, , , ,1,2, 
2021,      006008601  2,1,2,AB,B,B, , , , , , , , , , , 
2021,      006009201  2,1,3,Y, , , , , , , , , , , , , 
2021,      006011301  2,1,2,A,K, , ,2,2, , , , , , , , 
2021,      006011501  2,1,3,AB,K,K, , , , , , , , , , , 
2021,      006011501  2,2,2,AB,BK,BK, , , , , , , , , , , 
2021,      006102301  2,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      006107401  2,1,2,AB,ABC,ABC, , , , , , , , , , , 
2021,      006107401  2,2,1,AB,ABC,ABC, , , , , , , , , , , 
2021,      006110701  1,1,5,A,B, , , , , , , , , , , , 
2021,      006200601  2,1,1,AC,BCK, ,BK,2, , , , , , , , , 
2021,      006207902  2,1,1,A,CK, , , , , , , , , , , , 
2021,      006209101  4,1,2,AB,BK,BK, , , , , , , , , , , 
2021,      006214501  3,1,3,AB,BC,BC, , , , , , , , , , , 
2021,      006216201  3,1,2,AB,BC,BC, , , , , , , , , , , 
2021,      006306101  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      006310301  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      006311201  3,1,1,A,C, , , , , , , , , , , , 
2021,      006315101  5,1,1,A,C, , , , , , , , , , , , 
2021,      006404801  2,1,2,AB,C,C, , , , , , , , , , , 
2021,      006410301  4,1,4,A,C, , , , , , , , , , , , 
2021,      006411701  4,1,1,A,A, , , , , , , , , , , , 
2021,      006416101  2,1,3,AB,BC,AB, , , , , , , , , , , 
2021,      006500201  2,1,1,AB,BCK,BCK, , , , , , , , , , , 
2021,      006502301  5,1,1,A,BC, , , , , , , , , , , , 
2021,      006504601  2,1,2,Y, , , , , , , , , , , , , 
2021,      006504701  1,1,3,A,BC, , , , , , , , , , , , 
2021,      006504701  1,2,2,A,BC, , , , , , , , , , , , 
2021,      006608101  3,1,2,AB,CK,CK, , , , , , , , , , , 
2021,      006608901  2,1,3,AB,BCF,BCF, , , , , , , , , , , 
2021,      006608901  2,2,2,AB,BCF,BCF, , , , , , , , , , , 
2021,      006703101  2,1,3,AB,BCE,BCE, ,2,2,2, , , , ,2,2, 
2021,      006705601  2,1,2,A,B, , , , , , , , , , , , 
2021,      006712101  2,1,2,A,BC, , ,2, ,2, , , , ,2, , 
2021,      006712801  2,1,2,AB,BCG,BCG, , , , , , , , , , , 
2021,      006800501  2,1,5,ABX,AE,BE,E, , , , , , , , , , 
2021,      006802301  2,1,2,AB,CK,BK, , , , , , , , , , , 
2021,      006808601  2,1,5,ABD,K,B,B, , , , , , , , , , 
2021,      006810101  5,1,1,AC,B, ,B, , , , , , , , , , 
2021,      006811401  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      006904001  1,1,3,A,CK, , , , , , , , , , , , 
2021,      006905301  1,1,6,A,AB, , ,2, , , , , , , , , 
2021,      006913701  6,1,1,A,ABC, , , , , , , , , , , , 
2021,      007002701  7,1,1,B, ,AB, , , , , , , , , , , 
2021,      007007201  2,1,5,AB,BC,BC, , , , , , , , , , , 
2021,      007007201  2,2,4,AB,ABC,ABC, , , , , , , , , , , 
2021,      007007301  4,1,2,AC,BK, ,BK, , , , , , , , , , 
2021,      007101601  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      007104001  2,1,1,A,B, , , , , , , , , , , , 
