ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7
2021,      002008201,2,20,82,1,1,4,2,2,1
2021,      002014501,3,20,145,1,1,0,1,2,1
2021,      002100701,4,21,7,1,1,4,1,1,1
2021,      002100701,5,21,7,1,1,4,1,2,2
2021,      002103901,5,21,39,1,1,7,1,1,1
2021,      002103901,6,21,39,1,1,1,1,2,2
2021,      002109201,6,21,92,1,1,1,1,2,1
2021,      002109501,4,21,95,1,1,4,1,2,1
2021,      002111201,2,21,112,1,1,5,1,2,1
2021,      002201401,3,22,14,1,1,3,2,2,1
2021,      002202501,6,22,25,1,1,5,1,2,1
2021,      002203401,4,22,34,1,1,6,2,1,1
2021,      002203401,5,22,34,1,1,1,2,2,2
2021,      002204501,3,22,45,1,1,6,2,1,1
2021,      002204501,4,22,45,1,1,4,2,1,2
2021,      002204501,5,22,45,1,1,0,2,2,3
2021,      002208001,3,22,80,1,1,2,1,2,1
2021,      002208801,5,22,88,1,1,3,2,2,1
2021,      002211601,4,22,116,1,1,0,2,2,1
2021,      002403501,3,24,35,1,1,5,2,2,1
2021,      002405801,4,24,58,1,1,7,2,2,1
2021,      002409801,3,24,98,1,1,0,1,2,1
2021,      002412601,2,24,126,1,1,1,2,2,1
2021,      002412801,3,24,128,1,1,8,2,2,1
2021,      002501501,3,25,15,1,1,5,4,1,1
2021,      002501501,4,25,15,1,1,3,4,2,2
2021,      002501801,3,25,18,1,1,5,2,1,1
2021,      002501801,4,25,18,1,1,2,2,2,2
2021,      002502001,3,25,20,1,1,0,2,2,1
2021,      002509201,4,25,92,1,1,3,3,2,1
2021,      002900201,6,29,2,1,1,6,6,2,1
2021,      002900301,5,29,3,1,1,2,4,2,1
2021,      002900401,3,29,4,1,1,2,6,2,1
2021,      002900501,3,29,5,1,1,5,4,1,1
2021,      002900501,4,29,5,1,1,4,4,1,2
2021,      002900501,5,29,5,1,1,1,4,1,3
2021,      002900501,6,29,5,1,1,0,4,2,4
2021,      002909201,2,29,92,1,1,1,6,2,1
2021,      002909301,4,29,93,1,1,7,4,2,1
2021,      002909401,4,29,94,1,1,7,6,1,1
2021,      002909401,5,29,94,1,1,5,6,1,2
2021,      002909401,6,29,94,1,1,4,6,1,3
2021,      002909401,7,29,94,1,1,1,6,2,4
2021,      002909601,5,29,96,1,1,1,3,2,1
2021,      002910801,3,29,108,1,1,5,4,2,1
2021,      002910901,4,29,109,1,1,6,6,2,1
2021,      002911001,3,29,110,1,1,6,3,1,1
2021,      002911001,4,29,110,1,1,3,3,2,2
2021,      002911101,4,29,111,1,1,3,6,1,1
2021,      002911101,5,29,111,1,1,4,6,1,2
2021,      002911101,8,29,111,1,1,3,6,2,3
2021,      002911201,3,29,112,1,1,8,3,1,1
2021,      002911201,4,29,112,1,1,6,3,2,2
2021,      003001101,4,30,11,1,1,1,6,1,1
2021,      003001101,6,30,11,1,1,0,6,2,2
2021,      003001201,4,30,12,1,1,8,4,1,1
2021,      003001201,5,30,12,1,1,3,4,2,2
2021,      003001401,5,30,14,1,1,6,3,2,1
2021,      003001501,4,30,15,1,2, , ,2,1
2021,      003010601,3,30,106,1,1,0,6,2,1
2021,      003010701,4,30,107,1,1,3,3,2,1
2021,      003012801,3,30,128,1,1,4,6,2,1
2021,      003012901,4,30,129,1,1,6,3,2,1
2021,      003013001,4,30,130,1,1,3,6,1,1
2021,      003013001,5,30,130,1,1,1,6,2,2
2021,      003013101,3,30,131,1,1,5,3,1,1
2021,      003013101,4,30,131,1,1,3,3,2,2
2021,      003013201,3,30,132,1,1,4,6,1,1
2021,      003013201,4,30,132,1,1,3,6,2,2
2021,      003102001,3,31,20,1,1,7,6,1,1
2021,      003102001,4,31,20,1,1,5,6,1,2
2021,      003102001,5,31,20,1,1,0,6,2,3
2021,      003105201,3,31,52,1,1,6,3,1,1
2021,      003105201,6,31,52,1,1,0,3,2,2
2021,      003105601,3,31,56,1,1,1,3,2,1
2021,      003119701,3,31,197,1,1,8,3,1,1
2021,      003119701,4,31,197,1,1,6,3,2,2
2021,      003207901,4,32,79,1,1,3,2,2,1
2021,      003208601,5,32,86,1,1,1,4,1,1
2021,      003208601,6,32,86,1,1,0,4,2,2
2021,      003208701,3,32,87,1,1,2,3,2,1
2021,      003208801,4,32,88,1,1,5,3,2,1
2021,      003208901,4,32,89,1,1,5,4,1,1
2021,      003208901,5,32,89,1,1,2,4,2,2
2021,      003209001,4,32,90,1,1,0,2,2,1
2021,      003209101,4,32,91,1,1,2,2,2,1
2021,      003302301,3,33,23,1,1,7,1,2,1
2021,      003304601,3,33,46,1,1,4,0,1,1
2021,      003304601,4,33,46,1,1,1,0,2,2
2021,      003304701,3,33,47,1,1,7,1,1,1
2021,      003304701,4,33,47,1,1,0,1,2,2
2021,      003304801,2,33,48,1,1,5,1,2,1
2021,      003304901,3,33,49,1,1,7,1,1,1
2021,      003304901,4,33,49,1,1,0,1,2,2
2021,      003314101,2,33,141,1,1,4,0,1,1
2021,      003314101,3,33,141,1,1,0,1,2,2
2021,      003314301,3,33,143,1,1,4,1,2,1
2021,      003400101,3,34,1,1,1,3,1,1,1
2021,      003400101,5,34,1,1,1,1,1,2,2
2021,      003400201,5,34,2,1,1,4,1,2,1
2021,      003400401,3,34,4,1,1,6,1,1,1
2021,      003400401,4,34,4,1,1,4,1,1,2
2021,      003400401,5,34,4,1,1,2,1,1,3
2021,      003400401,6,34,4,1,1,0,1,2,4
2021,      003405101,4,34,51,1,1,7,1,1,1
2021,      003405101,5,34,51,1,1,3,1,1,2
2021,      003405101,6,34,51,1,1,1,1,2,3
2021,      003405201,4,34,52,1,1,3,1,2,1
2021,      003405301,6,34,53,1,1,8,1,1,1
2021,      003405301,7,34,53,1,1,5,1,1,2
2021,      003405301,8,34,53,1,1,3,1,2,3
2021,      003405401,5,34,54,1,1,7,1,2,1
2021,      003405501,2,34,55,1,1,4,1,1,1
2021,      003405501,3,34,55,1,1,1,1,2,2
2021,      003409501,3,34,95,1,1,4,1,2,1
2021,      003503601,5,35,36,1,1,8,0,1,1
2021,      003503601,6,35,36,1,1,6,0,1,2
2021,      003503601,7,35,36,1,1,3,0,1,3
2021,      003503601,8,35,36,1,1,3,0,1,4
2021,      003503601,9,35,36,1,1,0,1,2,5
2021,      003503901,5,35,39,1,1,5,1,1,1
2021,      003503901,6,35,39,1,1,1,1,2,2
2021,      003504001,3,35,40,1,1,2,1,2,1
2021,      003507901,5,35,79,1,1,6,1,1,1
2021,      003507901,6,35,79,1,1,4,1,1,2
2021,      003507901,7,35,79,1,1,2,1,2,3
2021,      003508301,3,35,83,1,1,5,1,1,1
2021,      003508301,4,35,83,1,1,4,1,2,2
2021,      003517101,2,35,171,1,1,6,1,1,1
2021,      003517101,3,35,171,1,8, , ,2,2
2021,      003600601,4,36,6,1,1,2,2,2,1
2021,      003600801,6,36,8,1,1,2,2,1,1
2021,      003600801,7,36,8,1,1,2,2,2,2
2021,      003604601,4,36,46,1,1,5,2,1,1
2021,      003604601,5,36,46,1,1,0,2,2,2
2021,      003604901,3,36,49,1,1,0,1,2,1
2021,      003606001,3,36,60,1,1,5,0,1,1
2021,      003606001,4,36,60,1,1,3,1,1,2
2021,      003606001,5,36,60,1,1,0,1,2,3
2021,      003606101,3,36,61,1,1,4,2,2,1
2021,      003606301,3,36,63,1,1,7,3,1,1
2021,      003606301,4,36,63,1,1,2,3,2,2
2021,      003803901,3,38,39,1,2, , ,2,1
2021,      004003601,3,40,36,1,1,5,1,1,1
2021,      004003601,4,40,36,1,1,2,1,2,2
2021,      004003801,4,40,38,1,1,6,1,1,1
2021,      004003801,5,40,38,1,1,6,1,1,2
2021,      004003801,6,40,38,1,1,0,1,1,3
2021,      004003801,7,40,38,1,1,0,1,2,4
2021,      004003901,3,40,39,1,1,0,2,2,1
2021,      004004801,6,40,48,1,1,5,4,2,1
2021,      004004901,4,40,49,1,1,6,2,2,1
2021,      004005201,5,40,52,1,1,0,3,2,1
2021,      004005301,4,40,53,1,1,6,2,1,1
2021,      004005301,5,40,53,1,1,0,2,2,2
2021,      004005401,3,40,54,1,1,5,3,1,1
2021,      004005401,4,40,54,1,1,3,3,2,2
2021,      004005501,3,40,55,1,1,4,2,2,1
2021,      004005601,3,40,56,1,1,3,3,1,1
2021,      004005601,4,40,56,1,1,1,3,2,2
2021,      004005701,4,40,57,1,1,7,2,1,1
2021,      004005701,5,40,57,1,1,5,2,2,2
2021,      004100201,3,41,2,1,1,4,2,2,1
2021,      004100301,3,41,3,1,1,3,4,1,1
2021,      004100301,4,41,3,1,1,3,4,2,2
2021,      004100901,3,41,9,1,1,6,3,1,1
2021,      004100901,4,41,9,1,1,4,3,2,2
2021,      004101401,10,41,14,1,1,4,3,2,1
2021,      004200601,3,42,6,1,1,3,1,1,1
2021,      004200601,4,42,6,1,1,2,1,2,2
2021,      004200701,3,42,7,1,1,4,1,1,1
2021,      004200701,4,42,7,1,1,2,1,2,2
2021,      004200801,4,42,8,1,1,3,1,2,1
2021,      004201101,4,42,11,1,1,7,1,2,1
2021,      004201201,4,42,12,1,1,3,1,2,1
2021,      004201301,3,42,13,1,1,2,1,1,1
2021,      004201301,4,42,13,1,1,0,1,2,2
2021,      004213801,2,42,138,1,1,2,1,2,1
2021,      004214001,3,42,140,1,1,1,1,2,1
2021,      004214101,3,42,141,1,1,1,1,2,1
2021,      004400101,3,44,1,1,1,5,1,1,1
2021,      004400101,4,44,1,1,1,3,1,1,2
2021,      004400101,5,44,1,1,1,1,1,2,3
2021,      004400201,3,44,2,1,1,5,2,1,1
2021,      004400201,4,44,2,1,1,2,2,2,2
2021,      004400301,4,44,3,1,1,2,1,1,1
2021,      004400301,7,44,3,1,1,6,1,2,2
2021,      004400401,3,44,4,1,1,5,2,1,1
2021,      004400401,4,44,4,1,1,3,2,1,2
2021,      004400401,5,44,4,1,2, , ,2,3
2021,      004400501,3,44,5,1,1,2,1,2,1
2021,      004401201,5,44,12,1,1,5,1,2,1
2021,      004401301,4,44,13,1,2, , ,2,1
2021,      004401501,3,44,15,1,1,3,1,1,1
2021,      004401501,4,44,15,1,1,1,1,2,2
2021,      004403901,3,44,39,1,1,3,1,1,1
2021,      004403901,4,44,39,1,1,1,1,2,2
2021,      004404001,6,44,40,1,1,0,1,2,1
2021,      004404101,3,44,41,1,1,0,1,2,1
2021,      004603701,3,46,37,1,1,5,3,1,1
2021,      004603701,4,46,37,1,1,0,3,2,2
2021,      004603901,3,46,39,1,1,1,3,2,1
2021,      004604001,3,46,40,1,1,5,2,2,1
2021,      004608901,6,46,89,1,1,1,3,1,1
2021,      004608901,7,46,89,1,1,5,3,2,2
2021,      004609001,6,46,90,1,1,3,2,2,1
2021,      004609101,3,46,91,1,1,4,3,2,1
2021,      004609201,3,46,92,1,1,2,4,2,1
2021,      004609301,2,46,93,1,1,1,3,1,1
2021,      004609301,3,46,93,1,1,0,3,2,2
2021,      004609401,4,46,94,1,1,2,1,2,1
2021,      004609501,3,46,95,1,1,4,2,2,1
2021,      004609601,5,46,96,1,1,3,2,1,1
2021,      004609601,6,46,96,1,1,1,2,1,2
2021,      004609601,9,46,96,1,1,7,2,2,3
2021,      004901101,5,49,11,1,1,2,0,2,1
2021,      004905301,3,49,53,1,1,3,1,2,1
2021,      004905401,4,49,54,1,1,4,0,2,1
2021,      004905501,3,49,55,1,1,6,1,1,1
2021,      004905501,4,49,55,1,1,4,1,2,2
2021,      004905801,4,49,58,1,1,6,0,1,1
2021,      004905801,5,49,58,1,1,3,0,2,2
2021,      004905901,6,49,59,1,1,1,0,2,1
2021,      005000101,2,50,1,1,1,0,1,2,1
2021,      005002901,2,50,29,1,1,3,2,2,1
2021,      005004701,3,50,47,1,1,0,1,2,1
2021,      005008101,3,50,81,1,1,5,2,1,1
2021,      005008101,4,50,81,1,1,1,1,2,2
2021,      005012401,3,50,124,1,1,0,2,2,1
2021,      005100101,5,51,1,1,1,0,3,2,1
2021,      005100201,3,51,2,1,1,3,3,2,1
2021,      005100301,8,51,3,1,1,0,4,2,1
2021,      005100501,3,51,5,1,1,7,3,1,1
2021,      005100501,4,51,5,1,1,5,3,2,2
2021,      005100701,3,51,7,1,1,2,2,2,1
2021,      005101201,3,51,12,1,1,5,2,1,1
2021,      005101201,4,51,12,1,1,4,2,2,2
2021,      005101501,5,51,15,1,1,1,3,2,1
2021,      005112201,5,51,122,1,1,5,3,1,1
2021,      005112201,6,51,122,1,1,3,3,2,2
2021,      005112301,4,51,123,1,1,4,3,1,1
2021,      005112301,5,51,123,1,1,1,3,2,2
2021,      005112601,4,51,126,1,1,3,2,1,1
2021,      005112601,5,51,126,1,1,1,2,2,2
2021,      005200801,5,52,8,1,1,8,1,1,1
2021,      005200801,6,52,8,1,1,7,1,1,2
2021,      005200801,7,52,8,1,1,5,1,2,3
2021,      005201001,2,52,10,1,1,8,1,1,1
2021,      005201001,3,52,10,1,1,6,1,1,2
2021,      005201001,4,52,10,1,1,1,1,2,3
2021,      005204401,3,52,44,1,1,3,3,1,1
2021,      005204401,4,52,44,1,1,1,3,2,2
2021,      005204501,3,52,45,1,1,5,1,2,1
2021,      005204601,3,52,46,1,1,7,3,1,1
2021,      005204601,4,52,46,1,1,6,3,1,2
2021,      005204601,5,52,46,1,1,4,3,2,3
2021,      005204701,3,52,47,1,1,1,1,2,1
2021,      005204901,5,52,49,1,1,4,1,2,1
2021,      005402101,3,54,21,1,1,1,3,2,1
2021,      005402201,3,54,22,1,1,3,2,1,1
2021,      005402201,4,54,22,1,1,0,2,1,2
2021,      005402201,5,54,22,1,1,5,2,2,3
2021,      005404801,4,54,48,1,1,6,2,2,1
2021,      005404901,3,54,49,1,1,5,3,1,1
2021,      005404901,4,54,49,1,1,2,3,1,2
2021,      005404901,5,54,49,1,1,1,3,2,3
2021,      005405001,6,54,50,1,1,1,5,2,1
2021,      005407001,3,54,70,1,1,4,3,2,1
2021,      005407101,3,54,71,1,1,1,3,1,1
2021,      005407101,5,54,71,1,1,3,3,2,2
2021,      005407201,3,54,72,1,1,2,3,1,1
2021,      005407201,4,54,72,1,1,0,3,2,2
2021,      005500701,4,55,7,1,1,5,0,2,1
2021,      005501001,4,55,10,1,1,0,1,2,1
2021,      005501101,4,55,11,1,1,4,1,2,1
2021,      005501201,3,55,12,1,2, , ,1,1
2021,      005501201,4,55,12,1,1,1,1,1,2
2021,      005501201,5,55,12,1,2, , ,2,3
2021,      005501601,4,55,16,1,1,3,2,2,1
2021,      005502501,3,55,25,1,1,3,1,1,1
2021,      005502501,4,55,25,1,1,1,2,2,2
2021,      005502801,3,55,28,1,1,2,1,2,1
2021,      005502901,4,55,29,1,1,1,1,2,1
2021,      005702201,6,57,22,1,1,5,2,1,1
2021,      005702201,7,57,22,1,1,4,2,1,2
2021,      005702201,8,57,22,1,1,1,2,2,3
2021,      005702301,4,57,23,1,1,0,2,2,1
2021,      005702401,4,57,24,1,1,3,2,2,1
2021,      005702501,3,57,25,1,1,7,3,2,1
2021,      005707601,3,57,76,1,1,4,3,1,1
2021,      005707601,4,57,76,1,1,2,3,2,2
2021,      005709201,2,57,92,1,1,5,3,2,1
2021,      005709401,3,57,94,1,1,1,3,2,1
2021,      005709501,4,57,95,1,1,2,2,2,1
2021,      005709601,4,57,96,1,1,5,2,2,1
2021,      005801801,3,58,18,1,1,0,2,1,1
2021,      005801801,4,58,18,1,1,5,2,2,2
2021,      005807401,3,58,74,1,1,2,2,2,1
2021,      005810201,3,58,102,1,1,0,1,1,1
2021,      005810201,4,58,102,1,2, , ,2,2
2021,      005814001,3,58,140,1,1,5,2,2,1
2021,      005901101,4,59,11,1,1,1,2,2,1
2021,      006000801,4,60,8,1,1,0,2,2,1
2021,      006001101,5,60,11,1,1,0,2,2,1
2021,      006002201,3,60,22,1,1,5,2,2,1
2021,      006005501,2,60,55,1,1,1,2,2,1
2021,      006007501,3,60,75,1,1,0,1,2,1
2021,      006008201,4,60,82,1,1,0,2,2,1
2021,      006008601,3,60,86,1,1,3,3,2,1
2021,      006009201,5,60,92,1,1,3,0,2,1
2021,      006011301,4,60,113,1,2, , ,2,1
2021,      006011501,3,60,115,1,1,3,3,1,1
2021,      006011501,4,60,115,1,1,1,3,2,2
2021,      006209101,5,62,91,1,1,1,2,2,1
2021,      006216201,4,62,162,1,1,0,1,2,1
2021,      006303201,5,63,32,1,1,2,0,2,1
2021,      006305201,5,63,52,1,1,2,0,1,1
2021,      006305201,9,63,52,1,1,3,0,1,2
2021,      006305201,10,63,52,1,1,1,0,2,3
2021,      006306001,4,63,60,1,1,1,1,2,1
2021,      006308901,7,63,89,1,1,1,0,2,1
2021,      006310301,3,63,103,1,1,0,1,2,1
2021,      006311201,4,63,112,1,2, , ,2,1
2021,      006311601,4,63,116,1,1,2,0,2,1
2021,      006500201,3,65,2,1,1,0,1,2,1
2021,      006503801,5,65,38,1,1,0,2,2,1
2021,      006504601,4,65,46,1,1,2,3,2,1
2021,      006504701,2,65,47,1,1,0,2,1,1
2021,      006504701,3,65,47,1,1,0,2,2,2
2021,      006601001,4,66,10,1,1,2,3,1,1
2021,      006601001,5,66,10,1,1,2,3,2,2
2021,      006603001,4,66,30,1,1,1,2,1,1
2021,      006603001,5,66,30,1,1,0,2,2,2
2021,      006608101,5,66,81,1,1,3,2,2,1
2021,      006608501,4,66,85,1,1,4,3,2,1
2021,      006608901,3,66,89,1,1,2,3,1,1
2021,      006608901,4,66,89,1,1,1,3,2,2
2021,      006703101,4,67,31,1,1,3,0,1,1
2021,      006703101,5,67,31,1,1,0,9,2,2
2021,      006705601,4,67,56,1,1,1,1,2,1
2021,      006706801,5,67,68,1,1,5,2,1,1
2021,      006706801,6,67,68,1,1,3,2,1,2
2021,      006706801,7,67,68,1,1,2,2,2,3
2021,      006711801,2,67,118,1,1,3,1,2,1
2021,      006712101,3,67,121,1,1,3,0,1,1
2021,      006712101,4,67,121,1,1,1,2,2,2
2021,      006902901,4,69,29,1,1,1,2,2,1
2021,      006904001,2,69,40,1,1,1,2,2,1
2021,      006905301,6,69,53,1,1,0,10,2,1
2021,      006906701,3,69,67,1,1,3,1,2,1
2021,      006911101,3,69,111,1,1,2,2,2,1
2021,      006912401,3,69,124,1,1,3,1,2,1
2021,      006913701,4,69,137,1,1,0,11,1,1
2021,      006913701,7,69,137,1,1,0,1,2,2
2021,      007009201,5,70,92,1,2, , ,2,1
2021,      007101001,3,71,10,1,1,2,0,2,1
2021,      007106201,5,71,62,1,1,1,3,2,1
2021,      007116001,3,71,160,1,1,1,3,1,1
2021,      007116001,4,71,160,1,1,0,3,2,2
2021,      007504501,4,75,45,1,1,0,2,2,1
2021,      007504901,3,75,49,1,1,2,3,1,1
2021,      007504901,4,75,49,1,1,1,3,2,2
2021,      007505301,5,75,53,1,2, , ,2,1
2021,      007512601,3,75,126,1,1,1,3,2,1
2021,      007610901,5,76,109,1,1,0,1,1,1
2021,      007610901,8,76,109,1,1,0,2,2,2
2021,      007611001,3,76,110,1,1,1,1,1,1
2021,      007611001,5,76,110,1,1,3,1,2,2
2021,      007611501,4,76,115,1,2, , ,1,1
2021,      007611501,5,76,115,1,2, , ,2,2
2021,      007805801,3,78,58,1,2, , ,1,1
2021,      007805801,4,78,58,1,2, , ,2,2
2021,      007901001,3,79,10,1,1,0,1,2,1
2021,      007901601,7,79,16,1,1,2,0,2,1
2021,      007903001,5,79,30,1,1,0,1,2,1
2021,      007903201,5,79,32,1,1,0,9,1,1
2021,      007903201,6,79,32,1,1,3,0,2,2
2021,      008000601,4,80,6,1,1,7,2,1,1
2021,      008000601,5,80,6,1,1,1,2,2,2
2021,      008005201,4,80,52,1,1,1,2,2,1
2021,      008005701,3,80,57,1,1,4,2,1,1
2021,      008005701,4,80,57,1,1,0,2,2,2
2021,      008101001,4,81,10,1,2, , ,2,1
2021,      008102101,5,81,21,1,1,1,2,2,1
2021,      008102801,3,81,28,1,2, , ,2,1
2021,      008104301,5,81,43,1,1,8,2,2,1
2021,      008105201,6,81,52,1,1,0,2,1,1
2021,      008105201,7,81,52,1,1,2,2,2,2
2021,      008105701,3,81,57,1,1,5,2,1,1
2021,      008105701,5,81,57,1,1,2,2,1,2
2021,      008105701,6,81,57,1,1,0,2,2,3
2021,      008201501,3,82,15,1,2, , ,2,1
2021,      008201701,3,82,17,1,1,4,2,1,1
2021,      008201701,4,82,17,1,1,2,2,1,2
2021,      008201701,5,82,17,1,1,0,2,2,3
2021,      008203101,5,82,31,1,1,3,0,2,1
2021,      008204001,3,82,40,1,2, , ,1,1
2021,      008204001,4,82,40,1,1,0,8,2,2
2021,      008205301,3,82,53,1,1,1,0,1,1
2021,      008205301,4,82,53,1,1,1,0,2,2
2021,      008309401,3,83,94,1,1,2,3,1,1
2021,      008309401,4,83,94,1,1,1,3,2,2
2021,      008314401,3,83,144,1,1,1,2,2,1
2021,      008501901,3,85,19,1,1,5,4,1,1
2021,      008501901,4,85,19,1,1,2,4,2,2
2021,      008502101,3,85,21,1,1,0,2,2,1
2021,      008506601,3,85,66,1,1,1,4,1,1
2021,      008506601,4,85,66,1,1,1,4,2,2
2021,      008600801,2,86,8,1,1,2,3,1,1
2021,      008600801,3,86,8,1,1,0,3,2,2
2021,      008604601,2,86,46,1,1,3,1,2,1
2021,      008604801,3,86,48,1,1,2,3,2,1
2021,      008703301,3,87,33,1,1,4,0,2,1
2021,      008703501,4,87,35,1,1,1,0,2,1
2021,      008712101,6,87,121,1,1,3,1,1,1
2021,      008712101,7,87,121,1,1,0,1,2,2
2021,      008712301,5,87,123,1,1,4,1,1,1
2021,      008712301,6,87,123,1,1,3,1,1,2
2021,      008712301,7,87,123,1,1,2,1,2,3
2021,      008801901,3,88,19,1,1,2,3,2,1
2021,      008803301,3,88,33,1,1,0,2,2,1
2021,      008805101,4,88,51,1,1,1,1,2,1
2021,      008806501,4,88,65,1,1,4,3,1,1
2021,      008806501,5,88,65,1,1,1,3,1,2
2021,      008806501,6,88,65,1,1,0,3,2,3
2021,      008809201,4,88,92,1,1,1,3,2,1
2021,      008811501,2,88,115,1,1,1,3,2,1
2021,      008900301,3,89,3,1,1,2,1,2,1
2021,      008906001,3,89,60,1,1,0,1,2,1
2021,      008906101,3,89,61,1,1,5,1,1,1
2021,      008906101,4,89,61,1,2, , ,2,2
2021,      008908701,3,89,87,1,1,3,0,2,1
2021,      009104601,3,91,46,1,1,1,1,2,1
2021,      009106501,3,91,65,1,1,2,1,2,1
2021,      009111601,4,91,116,1,1,4,1,1,1
2021,      009111601,5,91,116,1,1,0,1,2,2
2021,      009201101,5,92,11,1,1,4,1,1,1
2021,      009201101,6,92,11,1,1,1,1,1,2
2021,      009201101,7,92,11,1,1,1,1,2,3
2021,      009202001,5,92,20,1,1,5,2,2,1
